DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
215901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       9,       0,,
215901,030,HEALTH AND WELLNESS,.,       0,,
215901,034,HVAC AND SHEET METAL,.,       0,,
215901,039,MANUFACTURING TECHNOLOGY,.,       0,,
215901,041,MASONRY,.,       0,,
215901,042,NETWORKING SYSTEMS,       8,       0,,
215901,045,PLANT SCIENCE,      87,      10,,
215901,046,PLUMBING AND PIPEFITTING,.,       0,,
215901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     132,       0,,
215901,050,TEACHING AND TRAINING,      25,       0,,
215901,052,WEB DEVELOPMENT,       8,       0,,
215901,054,CONSTRUCTION MANAGEMENT AND INSPECTION,      50,      16,,
215901,060,WELDING,       9,       0,,
216901,001,ACCOUNTING AND FINANCIAL SERVICES,      23,       0,,
216901,004,ANIMAL SCIENCE,      23,       0,,
216901,005,APPLIED AGRICULTURAL ENGINEERING,      43,      19,,
216901,011,BUSINESS MANAGEMENT,      46,.,,
216901,014,CULINARY ARTS,      28,       0,,
216901,019,EARLY LEARNING,       7,       0,,
216901,021,EMERGENCY SERVICES,       6,       0,,
216901,023,ENTREPRENEURSHIP,      34,       0,,
216901,024,ENVIRONMENTAL AND NATURAL RESOURCES,      16,       0,,
216901,025,EXERCISE SCIENCE AND WELLNESS,       6,       0,,
216901,026,FAMILY AND COMMUNITY SERVICES,       8,       0,,
216901,027,FOOD AND SCIENCE TECHNOLOGY,      16,       0,,
216901,031,HEALTH INFORMATICS,      20,       0,,
216901,032,HEALTHCARE DIAGNOSTICS,.,       0,,
216901,033,HEALTHCARE THERAPEUTIC,.,       0,,
216901,045,PLANT SCIENCE,      16,       0,,
216901,050,TEACHING AND TRAINING,       7,       0,,
216901,052,WEB DEVELOPMENT,       7,       0,,
217901,001,ACCOUNTING AND FINANCIAL SERVICES,       5,       0,,
217901,004,ANIMAL SCIENCE,      17,.,,
217901,005,APPLIED AGRICULTURAL ENGINEERING,      20,.,,
217901,015,CYBERSECURITY,      13,       0,,
217901,019,EARLY LEARNING,.,       0,,
217901,021,EMERGENCY SERVICES,.,       0,,
217901,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
217901,026,FAMILY AND COMMUNITY SERVICES,       8,       8,,
217901,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
217901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
217901,030,HEALTH AND WELLNESS,.,       0,,
217901,031,HEALTH INFORMATICS,.,       0,,
217901,032,HEALTHCARE DIAGNOSTICS,.,       0,,
217901,033,HEALTHCARE THERAPEUTIC,.,       0,,
217901,043,NURSING SCIENCE,.,       0,,
217901,045,PLANT SCIENCE,.,       0,,
217901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      16,.,,
217901,050,TEACHING AND TRAINING,       7,       0,,
218901,003,AGRIBUSINESS,      20,       0,,
218901,004,ANIMAL SCIENCE,      22,       0,,
218901,005,APPLIED AGRICULTURAL ENGINEERING,      27,       9,,
218901,006,ARCHITECTURAL DESIGN,      15,       0,,
218901,011,BUSINESS MANAGEMENT,      41,       0,,
218901,012,CARPENTRY,      33,       0,,
218901,019,EARLY LEARNING,.,       0,,
218901,024,ENVIRONMENTAL AND NATURAL RESOURCES,       9,       0,,
218901,026,FAMILY AND COMMUNITY SERVICES,      57,       0,,
218901,027,FOOD AND SCIENCE TECHNOLOGY,       8,       0,,
218901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      16,.,,
218901,030,HEALTH AND WELLNESS,.,       0,,
218901,033,HEALTHCARE THERAPEUTIC,      10,       0,,
218901,043,NURSING SCIENCE,      10,       0,,
218901,045,PLANT SCIENCE,      10,       0,,
218901,050,TEACHING AND TRAINING,.,       0,,
219901,001,ACCOUNTING AND FINANCIAL SERVICES,      33,       5,,
219901,003,AGRIBUSINESS,.,       0,,
219901,004,ANIMAL SCIENCE,      17,.,,
219901,005,APPLIED AGRICULTURAL ENGINEERING,      19,.,,
219901,011,BUSINESS MANAGEMENT,      22,.,,
219901,014,CULINARY ARTS,.,       0,,
219901,017,DIGITAL COMMUNICATIONS,       5,.,,
219901,019,EARLY LEARNING,       5,       0,,
219901,023,ENTREPRENEURSHIP,.,       0,,
219901,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
219901,026,FAMILY AND COMMUNITY SERVICES,      14,.,,
219901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
219901,030,HEALTH AND WELLNESS,.,       0,,
219901,031,HEALTH INFORMATICS,      12,       0,,
219901,032,HEALTHCARE DIAGNOSTICS,       5,.,,
219901,033,HEALTHCARE THERAPEUTIC,       5,.,,
219901,042,NETWORKING SYSTEMS,.,       0,,
219901,043,NURSING SCIENCE,       7,       0,,
219901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
219901,050,TEACHING AND TRAINING,.,.,,
219901,052,WEB DEVELOPMENT,.,       0,,
219901,059,MEDICAL THERAPY,       5,.,,
219903,001,ACCOUNTING AND FINANCIAL SERVICES,      18,.,,
219903,003,AGRIBUSINESS,.,       0,,
219903,004,ANIMAL SCIENCE,      10,.,,
219903,005,APPLIED AGRICULTURAL ENGINEERING,.,       0,,
219903,007,AUTOMOTIVE,      21,      11,,
219903,011,BUSINESS MANAGEMENT,.,       0,,
219903,014,CULINARY ARTS,      44,      13,,
219903,019,EARLY LEARNING,.,       0,,
219903,021,EMERGENCY SERVICES,.,       0,,
219903,024,ENVIRONMENTAL AND NATURAL RESOURCES,      14,       0,,
219903,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
219903,030,HEALTH AND WELLNESS,.,       0,,
219903,031,HEALTH INFORMATICS,      28,       0,,
219903,032,HEALTHCARE DIAGNOSTICS,      22,       9,,
219903,033,HEALTHCARE THERAPEUTIC,      22,       9,,
219903,036,LAW ENFORCEMENT,      29,.,,
219903,039,MANUFACTURING TECHNOLOGY,.,       0,,
219903,043,NURSING SCIENCE,      27,       0,,
219903,045,PLANT SCIENCE,      13,       0,,
219903,046,PLUMBING AND PIPEFITTING,      14,       0,,
219903,050,TEACHING AND TRAINING,.,       0,,
219903,059,MEDICAL THERAPY,      21,       8,,
219903,060,WELDING,      21,      11,,
219905,011,BUSINESS MANAGEMENT,       8,       0,,
219905,012,CARPENTRY,      25,       0,,
219905,019,EARLY LEARNING,      16,       0,,
219905,026,FAMILY AND COMMUNITY SERVICES,      21,.,,
219905,046,PLUMBING AND PIPEFITTING,      20,       0,,
219905,050,TEACHING AND TRAINING,      16,       0,,
219905,060,WELDING,      18,       0,,
220801,019,EARLY LEARNING,.,       0,,
220801,021,EMERGENCY SERVICES,      13,       0,,
220801,033,HEALTHCARE THERAPEUTIC,.,       0,,
220801,036,LAW ENFORCEMENT,       9,       0,,
220801,043,NURSING SCIENCE,.,       0,,
220809,004,ANIMAL SCIENCE,.,       0,,
220809,005,APPLIED AGRICULTURAL ENGINEERING,.,       0,,
220809,015,CYBERSECURITY,      14,       0,,
220809,021,EMERGENCY SERVICES,       6,       0,,
220809,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
220809,025,EXERCISE SCIENCE AND WELLNESS,       6,       0,,
220809,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
220809,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      16,.,,
220809,032,HEALTHCARE DIAGNOSTICS,.,       0,,
220809,033,HEALTHCARE THERAPEUTIC,.,       0,,
220809,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,       5,       0,,
220809,042,NETWORKING SYSTEMS,      14,       0,,
220809,043,NURSING SCIENCE,.,       0,,
220809,045,PLANT SCIENCE,.,       0,,
220809,049,RENEWABLE ENERGY,.,       0,,
220809,052,WEB DEVELOPMENT,      15,       0,,
220810,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      12,       0,,
220810,004,ANIMAL SCIENCE,      31,       0,,
220810,005,APPLIED AGRICULTURAL ENGINEERING,      31,       0,,
220810,015,CYBERSECURITY,     111,      18,,
220810,021,EMERGENCY SERVICES,      25,       0,,
220810,022,ENGINEERING,      17,       0,,
220810,023,ENTREPRENEURSHIP,      79,       0,,
220810,024,ENVIRONMENTAL AND NATURAL RESOURCES,      31,       0,,
220810,025,EXERCISE SCIENCE AND WELLNESS,      25,       0,,
220810,027,FOOD AND SCIENCE TECHNOLOGY,      31,       0,,
220810,031,HEALTH INFORMATICS,      98,       0,,
220810,032,HEALTHCARE DIAGNOSTICS,      23,       0,,
220810,033,HEALTHCARE THERAPEUTIC,      23,       0,,
220810,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
220810,042,NETWORKING SYSTEMS,     119,       0,,
220810,043,NURSING SCIENCE,      23,       0,,
220810,045,PLANT SCIENCE,      31,       0,,
220810,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      18,       0,,
220810,049,RENEWABLE ENERGY,      82,       0,,
220810,052,WEB DEVELOPMENT,.,       0,,
220810,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,      17,       0,,
220817,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
220817,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      40,.,,
220817,009,BIO-MEDICAL SCIENCE,      17,       0,,
220817,011,BUSINESS MANAGEMENT,      40,       0,,
220817,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
220817,015,CYBERSECURITY,     121,       6,,
220817,017,DIGITAL COMMUNICATIONS,.,.,,
220817,019,EARLY LEARNING,.,       0,,
220817,021,EMERGENCY SERVICES,       6,       0,,
220817,022,ENGINEERING,      41,      11,,
220817,023,ENTREPRENEURSHIP,       5,       0,,
220817,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
220817,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
220817,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
220817,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      48,      17,,
220817,031,HEALTH INFORMATICS,      49,       0,,
220817,032,HEALTHCARE DIAGNOSTICS,      40,      46,,
220817,033,HEALTHCARE THERAPEUTIC,      40,      46,,
220817,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      14,       0,,
220817,036,LAW ENFORCEMENT,      30,      16,,
220817,037,LEGAL STUDIES,       8,       0,,
220817,040,MARKETING AND SALES,       6,       0,,
220817,042,NETWORKING SYSTEMS,      47,       0,,
220817,043,NURSING SCIENCE,      60,      24,,
220817,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      43,.,,
220817,049,RENEWABLE ENERGY,      18,       0,,
220817,050,TEACHING AND TRAINING,.,.,,
220817,052,WEB DEVELOPMENT,      47,       0,,
220817,059,MEDICAL THERAPY,      71,.,,
220817,061,DRONE (UNMANNED FLIGHT),       5,       0,,
220819,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      34,       0,,
220819,022,ENGINEERING,      22,      14,,
220819,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      65,       7,,
220901,001,ACCOUNTING AND FINANCIAL SERVICES,     774,      23,,
220901,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      27,       0,,
220901,003,AGRIBUSINESS,      25,       0,,
220901,004,ANIMAL SCIENCE,     286,      74,,
220901,005,APPLIED AGRICULTURAL ENGINEERING,      84,.,,
220901,006,ARCHITECTURAL DESIGN,     156,      39,,
220901,007,AUTOMOTIVE,      15,       0,,
220901,008,AVIATION MAINTENANCE,.,       0,,
220901,009,BIO-MEDICAL SCIENCE,     597,      94,,
220901,011,BUSINESS MANAGEMENT,     404,.,,
220901,012,CARPENTRY,       5,       0,,
220901,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      56,       0,,
220901,014,CULINARY ARTS,     232,      28,,
220901,015,CYBERSECURITY,     316,      71,,
220901,017,DIGITAL COMMUNICATIONS,     100,      13,,
220901,019,EARLY LEARNING,     765,      17,,
220901,020,ELECTRICAL,       9,       5,,
220901,021,EMERGENCY SERVICES,     275,      15,,
220901,022,ENGINEERING,     450,      72,,
220901,023,ENTREPRENEURSHIP,     589,      14,,
220901,024,ENVIRONMENTAL AND NATURAL RESOURCES,     101,       6,,
220901,025,EXERCISE SCIENCE AND WELLNESS,     110,       0,,
220901,026,FAMILY AND COMMUNITY SERVICES,     798,      78,,
220901,027,FOOD AND SCIENCE TECHNOLOGY,      66,.,,
220901,028,GOVERNMENT AND PUBLIC ADMINISTRATION,      16,.,,
220901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,    1153,     178,,
220901,030,HEALTH AND WELLNESS,     161,      34,,
220901,031,HEALTH INFORMATICS,    1184,      14,,
220901,032,HEALTHCARE DIAGNOSTICS,    1018,     337,,
220901,033,HEALTHCARE THERAPEUTIC,    1009,     354,,
220901,034,HVAC AND SHEET METAL,.,.,,
220901,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      27,       0,,
220901,036,LAW ENFORCEMENT,     575,      69,,
220901,037,LEGAL STUDIES,     182,.,,
220901,038,LODGING AND RESORT MANAGEMENT,      16,       0,,
220901,039,MANUFACTURING TECHNOLOGY,       5,       0,,
220901,040,MARKETING AND SALES,      31,.,,
220901,041,MASONRY,.,       0,,
220901,042,NETWORKING SYSTEMS,     120,.,,
220901,043,NURSING SCIENCE,    1186,      84,,
220901,044,OIL AND GAS EXPLORATION AND PRODUCTION,       5,       0,,
220901,045,PLANT SCIENCE,      96,       6,,
220901,046,PLUMBING AND PIPEFITTING,     206,       0,,
220901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     726,     115,,
220901,049,RENEWABLE ENERGY,      57,       0,,
220901,050,TEACHING AND TRAINING,     823,      68,,
220901,051,"TRAVEL, TOURISM, AND ATTRACTIONS",       8,       0,,
220901,052,WEB DEVELOPMENT,     101,       0,,
220901,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
220901,056,FLIGHT,.,       0,,
220901,059,MEDICAL THERAPY,     842,     256,,
220901,060,WELDING,     109,      36,,
220901,061,DRONE (UNMANNED FLIGHT),     181,       7,,
220901,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,      15,       0,,
220901,064,PRINTING AND IMAGING,.,       0,,
220902,001,ACCOUNTING AND FINANCIAL SERVICES,      61,.,,
220902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
220902,003,AGRIBUSINESS,       5,.,,
220902,004,ANIMAL SCIENCE,      62,      13,,
220902,005,APPLIED AGRICULTURAL ENGINEERING,      11,.,,
220902,006,ARCHITECTURAL DESIGN,       5,       0,,
220902,007,AUTOMOTIVE,      23,       9,,
220902,008,AVIATION MAINTENANCE,.,       0,,
220902,009,BIO-MEDICAL SCIENCE,      23,       0,,
220902,011,BUSINESS MANAGEMENT,      47,.,,
220902,012,CARPENTRY,      22,.,,
220902,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      24,       0,,
220902,014,CULINARY ARTS,      33,      11,,
220902,015,CYBERSECURITY,     159,      15,,
220902,017,DIGITAL COMMUNICATIONS,      65,      21,,
220902,019,EARLY LEARNING,      21,       0,,
220902,020,ELECTRICAL,.,       0,,
220902,021,EMERGENCY SERVICES,      58,.,,
220902,022,ENGINEERING,      60,       5,,
220902,023,ENTREPRENEURSHIP,      94,.,,
220902,024,ENVIRONMENTAL AND NATURAL RESOURCES,      21,.,,
220902,025,EXERCISE SCIENCE AND WELLNESS,      28,       0,,
220902,026,FAMILY AND COMMUNITY SERVICES,     198,.,,
220902,027,FOOD AND SCIENCE TECHNOLOGY,       9,       0,,
220902,028,GOVERNMENT AND PUBLIC ADMINISTRATION,       8,       0,,
220902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     274,      10,,
220902,030,HEALTH AND WELLNESS,.,       0,,
220902,031,HEALTH INFORMATICS,     146,       0,,
220902,032,HEALTHCARE DIAGNOSTICS,     224,     147,,
220902,033,HEALTHCARE THERAPEUTIC,     224,     147,,
220902,034,HVAC AND SHEET METAL,.,       0,,
220902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      49,.,,
220902,036,LAW ENFORCEMENT,     114,      22,,
220902,037,LEGAL STUDIES,      20,       0,,
220902,038,LODGING AND RESORT MANAGEMENT,.,       0,,
220902,040,MARKETING AND SALES,      32,      12,,
220902,041,MASONRY,.,       0,,
220902,042,NETWORKING SYSTEMS,      96,.,,
220902,043,NURSING SCIENCE,     267,       6,,
220902,045,PLANT SCIENCE,      66,      13,,
220902,046,PLUMBING AND PIPEFITTING,.,       0,,
220902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      88,.,,
220902,049,RENEWABLE ENERGY,       6,       0,,
220902,050,TEACHING AND TRAINING,      54,      12,,
220902,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
220902,052,WEB DEVELOPMENT,      42,       0,,
220902,059,MEDICAL THERAPY,     184,      79,,
220902,060,WELDING,.,       0,,
220902,061,DRONE (UNMANNED FLIGHT),       5,       0,,
220902,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,.,       0,,
220902,064,PRINTING AND IMAGING,.,       0,,
220904,001,ACCOUNTING AND FINANCIAL SERVICES,     206,      38,,
220904,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      42,      18,,
220904,003,AGRIBUSINESS,.,       0,,
220904,004,ANIMAL SCIENCE,.,       0,,
220904,005,APPLIED AGRICULTURAL ENGINEERING,.,       0,,
220904,006,ARCHITECTURAL DESIGN,      28,       9,,
220904,007,AUTOMOTIVE,       0,.,,
220904,011,BUSINESS MANAGEMENT,      75,      18,,
220904,012,CARPENTRY,      20,       0,,
220904,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
220904,014,CULINARY ARTS,      16,      11,,
220904,015,CYBERSECURITY,      29,       0,,
220904,016,DIESEL AND HEAVY EQUIPMENT,.,       0,,
220904,017,DIGITAL COMMUNICATIONS,      23,.,,
220904,019,EARLY LEARNING,     113,      12,,
220904,020,ELECTRICAL,      71,       0,,
220904,021,EMERGENCY SERVICES,      48,       0,,
220904,022,ENGINEERING,     134,      15,,
220904,023,ENTREPRENEURSHIP,      82,      17,,
220904,025,EXERCISE SCIENCE AND WELLNESS,      25,       0,,
220904,026,FAMILY AND COMMUNITY SERVICES,     214,      45,,
220904,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     182,      81,,
220904,030,HEALTH AND WELLNESS,      33,.,,
220904,031,HEALTH INFORMATICS,     132,       0,,
220904,032,HEALTHCARE DIAGNOSTICS,      92,      64,,
220904,033,HEALTHCARE THERAPEUTIC,      92,      64,,
220904,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      33,       0,,
220904,036,LAW ENFORCEMENT,      14,       0,,
220904,038,LODGING AND RESORT MANAGEMENT,       8,       0,,
220904,040,MARKETING AND SALES,      22,       6,,
220904,042,NETWORKING SYSTEMS,      33,       0,,
220904,043,NURSING SCIENCE,     139,.,,
220904,045,PLANT SCIENCE,.,       0,,
220904,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
220904,049,RENEWABLE ENERGY,.,       0,,
220904,050,TEACHING AND TRAINING,     149,      44,,
220904,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      21,       0,,
220904,052,WEB DEVELOPMENT,.,       0,,
220904,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,.,,
220904,059,MEDICAL THERAPY,      76,      63,,
220904,061,DRONE (UNMANNED FLIGHT),      16,       0,,
220904,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,      16,       0,,
220904,064,PRINTING AND IMAGING,      26,       0,,
220905,001,ACCOUNTING AND FINANCIAL SERVICES,     906,      23,,
220905,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,     438,      69,,
220905,003,AGRIBUSINESS,      70,.,,
220905,004,ANIMAL SCIENCE,     214,      56,,
220905,005,APPLIED AGRICULTURAL ENGINEERING,      90,       6,,
220905,006,ARCHITECTURAL DESIGN,      51,      31,,
220905,007,AUTOMOTIVE,     186,      92,,
220905,008,AVIATION MAINTENANCE,      16,.,,
220905,009,BIO-MEDICAL SCIENCE,     235,      12,,
220905,011,BUSINESS MANAGEMENT,     720,      37,,
220905,012,CARPENTRY,      70,      56,,
220905,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      75,      78,,
220905,014,CULINARY ARTS,     318,     103,,
220905,015,CYBERSECURITY,     326,      67,,
220905,017,DIGITAL COMMUNICATIONS,     171,      94,,
220905,019,EARLY LEARNING,     120,       0,,
220905,020,ELECTRICAL,      11,      18,,
220905,021,EMERGENCY SERVICES,      23,      22,,
220905,022,ENGINEERING,     651,     226,,
220905,023,ENTREPRENEURSHIP,     722,      24,,
220905,024,ENVIRONMENTAL AND NATURAL RESOURCES,      60,      11,,
220905,025,EXERCISE SCIENCE AND WELLNESS,      13,       0,,
220905,026,FAMILY AND COMMUNITY SERVICES,     353,       5,,
220905,027,FOOD AND SCIENCE TECHNOLOGY,      51,       0,,
220905,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
220905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     928,     285,,
220905,030,HEALTH AND WELLNESS,      18,       0,,
220905,031,HEALTH INFORMATICS,     181,       0,,
220905,032,HEALTHCARE DIAGNOSTICS,     259,     256,,
220905,033,HEALTHCARE THERAPEUTIC,     258,     257,,
220905,034,HVAC AND SHEET METAL,      10,       0,,
220905,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      65,       0,,
220905,036,LAW ENFORCEMENT,      63,      23,,
220905,037,LEGAL STUDIES,      39,       6,,
220905,038,LODGING AND RESORT MANAGEMENT,      28,       0,,
220905,039,MANUFACTURING TECHNOLOGY,      16,       0,,
220905,040,MARKETING AND SALES,     113,      30,,
220905,041,MASONRY,      11,       0,,
220905,042,NETWORKING SYSTEMS,     248,.,,
220905,043,NURSING SCIENCE,     228,      16,,
220905,044,OIL AND GAS EXPLORATION AND PRODUCTION,       5,       0,,
220905,045,PLANT SCIENCE,      72,       7,,
220905,046,PLUMBING AND PIPEFITTING,      17,       0,,
220905,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     261,      43,,
220905,048,REFINING AND CHEMICAL PROCESSES,       5,       0,,
220905,049,RENEWABLE ENERGY,     107,       7,,
220905,050,TEACHING AND TRAINING,     389,     213,,
220905,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      15,       0,,
220905,052,WEB DEVELOPMENT,      33,       8,,
220905,054,CONSTRUCTION MANAGEMENT AND INSPECTION,      20,       0,,
220905,059,MEDICAL THERAPY,     298,     185,,
220905,060,WELDING,      37,      13,,
220905,061,DRONE (UNMANNED FLIGHT),     162,       0,,
220905,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,      24,       7,,
220905,064,PRINTING AND IMAGING,       5,       5,,
220906,001,ACCOUNTING AND FINANCIAL SERVICES,     202,.,,
220906,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,     278,      17,,
220906,003,AGRIBUSINESS,      24,       0,,
220906,004,ANIMAL SCIENCE,      39,      15,,
220906,005,APPLIED AGRICULTURAL ENGINEERING,      24,.,,
220906,007,AUTOMOTIVE,      21,       7,,
220906,009,BIO-MEDICAL SCIENCE,.,       0,,
220906,011,BUSINESS MANAGEMENT,     169,.,,
220906,014,CULINARY ARTS,      51,      23,,
220906,015,CYBERSECURITY,     222,      36,,
220906,017,DIGITAL COMMUNICATIONS,      69,       9,,
220906,019,EARLY LEARNING,     228,.,,
220906,021,EMERGENCY SERVICES,      14,       0,,
220906,022,ENGINEERING,     123,      21,,
220906,023,ENTREPRENEURSHIP,     246,.,,
220906,024,ENVIRONMENTAL AND NATURAL RESOURCES,      30,       0,,
220906,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
220906,026,FAMILY AND COMMUNITY SERVICES,     266,.,,
220906,027,FOOD AND SCIENCE TECHNOLOGY,       9,       0,,
220906,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     150,       8,,
220906,030,HEALTH AND WELLNESS,       6,       0,,
220906,031,HEALTH INFORMATICS,     427,       0,,
220906,032,HEALTHCARE DIAGNOSTICS,     330,     125,,
220906,033,HEALTHCARE THERAPEUTIC,     330,     125,,
220906,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      15,       0,,
220906,036,LAW ENFORCEMENT,     113,       8,,
220906,037,LEGAL STUDIES,.,       0,,
220906,038,LODGING AND RESORT MANAGEMENT,      30,       6,,
220906,039,MANUFACTURING TECHNOLOGY,.,       0,,
220906,040,MARKETING AND SALES,      89,.,,
220906,042,NETWORKING SYSTEMS,      70,       0,,
220906,043,NURSING SCIENCE,     429,      12,,
220906,045,PLANT SCIENCE,      48,       5,,
220906,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     160,      36,,
220906,049,RENEWABLE ENERGY,      17,       0,,
220906,050,TEACHING AND TRAINING,     192,      41,,
220906,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      52,.,,
220906,052,WEB DEVELOPMENT,      21,       0,,
220906,059,MEDICAL THERAPY,     311,     102,,
220906,061,DRONE (UNMANNED FLIGHT),      68,       0,,
220906,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,.,       0,,
220907,001,ACCOUNTING AND FINANCIAL SERVICES,     893,      59,,
220907,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      55,       0,,
220907,003,AGRIBUSINESS,     113,       8,,
220907,004,ANIMAL SCIENCE,     224,     177,,
220907,005,APPLIED AGRICULTURAL ENGINEERING,     120,      70,,
220907,006,ARCHITECTURAL DESIGN,     146,      88,,
220907,007,AUTOMOTIVE,      99,      78,,
220907,008,AVIATION MAINTENANCE,.,       0,,
220907,009,BIO-MEDICAL SCIENCE,      93,       0,,
220907,011,BUSINESS MANAGEMENT,     546,      66,,
220907,012,CARPENTRY,      53,       0,,
220907,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      43,      34,,
220907,014,CULINARY ARTS,     133,      24,,
220907,015,CYBERSECURITY,     242,     102,,
220907,016,DIESEL AND HEAVY EQUIPMENT,.,       0,,
220907,017,DIGITAL COMMUNICATIONS,     170,      89,,
220907,019,EARLY LEARNING,      99,       8,,
220907,021,EMERGENCY SERVICES,     119,.,,
220907,022,ENGINEERING,     478,     190,,
220907,023,ENTREPRENEURSHIP,     475,      32,,
220907,024,ENVIRONMENTAL AND NATURAL RESOURCES,     132,      70,,
220907,025,EXERCISE SCIENCE AND WELLNESS,      38,       0,,
220907,026,FAMILY AND COMMUNITY SERVICES,     491,      17,,
220907,027,FOOD AND SCIENCE TECHNOLOGY,     119,      70,,
220907,028,GOVERNMENT AND PUBLIC ADMINISTRATION,       6,       0,,
220907,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     284,     152,,
220907,030,HEALTH AND WELLNESS,     270,.,,
220907,031,HEALTH INFORMATICS,     293,       0,,
220907,032,HEALTHCARE DIAGNOSTICS,    1053,     588,,
220907,033,HEALTHCARE THERAPEUTIC,    1011,     630,,
220907,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      18,.,,
220907,036,LAW ENFORCEMENT,     399,     216,,
220907,037,LEGAL STUDIES,     197,      25,,
220907,038,LODGING AND RESORT MANAGEMENT,.,       0,,
220907,040,MARKETING AND SALES,     251,      79,,
220907,042,NETWORKING SYSTEMS,     108,      16,,
220907,043,NURSING SCIENCE,     966,     121,,
220907,045,PLANT SCIENCE,     122,      70,,
220907,046,PLUMBING AND PIPEFITTING,      12,       0,,
220907,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     158,      93,,
