DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
002901,001,ACCOUNTING AND FINANCIAL SERVICES,     119,.,,
002901,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
002901,003,AGRIBUSINESS,.,       0,,
002901,004,ANIMAL SCIENCE,      47,       5,,
002901,005,APPLIED AGRICULTURAL ENGINEERING,      30,       0,,
002901,006,ARCHITECTURAL DESIGN,.,       0,,
002901,007,AUTOMOTIVE,      35,       8,,
002901,011,BUSINESS MANAGEMENT,     123,       7,,
002901,012,CARPENTRY,      20,       5,,
002901,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      15,      10,,
002901,014,CULINARY ARTS,      70,       7,,
002901,015,CYBERSECURITY,      18,       0,,
002901,017,DIGITAL COMMUNICATIONS,      15,       0,,
002901,019,EARLY LEARNING,      18,       0,,
002901,020,ELECTRICAL,       6,       0,,
002901,021,EMERGENCY SERVICES,.,       0,,
002901,023,ENTREPRENEURSHIP,     150,.,,
002901,024,ENVIRONMENTAL AND NATURAL RESOURCES,      23,       0,,
002901,025,EXERCISE SCIENCE AND WELLNESS,       7,       0,,
002901,026,FAMILY AND COMMUNITY SERVICES,      61,       6,,
002901,027,FOOD AND SCIENCE TECHNOLOGY,       5,       0,,
002901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      34,.,,
002901,030,HEALTH AND WELLNESS,      48,.,,
002901,031,HEALTH INFORMATICS,       6,       0,,
002901,032,HEALTHCARE DIAGNOSTICS,      10,       0,,
002901,033,HEALTHCARE THERAPEUTIC,      10,       0,,
002901,034,HVAC AND SHEET METAL,      10,       0,,
002901,038,LODGING AND RESORT MANAGEMENT,       5,       0,,
002901,040,MARKETING AND SALES,.,       0,,
002901,041,MASONRY,       6,       0,,
002901,042,NETWORKING SYSTEMS,.,       0,,
002901,043,NURSING SCIENCE,      10,       0,,
002901,045,PLANT SCIENCE,      22,       0,,
002901,046,PLUMBING AND PIPEFITTING,      25,       0,,
002901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      23,.,,
002901,050,TEACHING AND TRAINING,      53,       7,,
002901,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      14,.,,
002901,052,WEB DEVELOPMENT,.,       0,,
002901,054,CONSTRUCTION MANAGEMENT AND INSPECTION,       6,       0,,
002901,060,WELDING,      23,.,,
002901,061,DRONE (UNMANNED FLIGHT),.,       0,,
003801,001,ACCOUNTING AND FINANCIAL SERVICES,       7,       0,,
003801,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,       6,       0,,
003801,004,ANIMAL SCIENCE,       7,       0,,
003801,005,APPLIED AGRICULTURAL ENGINEERING,       6,       0,,
003801,013,COSMETOLOGY AND PERSONAL CARE SERVICES,       6,.,,
003801,019,EARLY LEARNING,      11,       0,,
003801,021,EMERGENCY SERVICES,       7,       0,,
003801,022,ENGINEERING,.,       0,,
003801,023,ENTREPRENEURSHIP,.,       0,,
003801,024,ENVIRONMENTAL AND NATURAL RESOURCES,       7,       0,,
003801,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
003801,026,FAMILY AND COMMUNITY SERVICES,      25,       0,,
003801,027,FOOD AND SCIENCE TECHNOLOGY,       6,       0,,
003801,030,HEALTH AND WELLNESS,       5,       0,,
003801,031,HEALTH INFORMATICS,       5,       0,,
003801,032,HEALTHCARE DIAGNOSTICS,       8,       0,,
003801,033,HEALTHCARE THERAPEUTIC,       8,       0,,
003801,036,LAW ENFORCEMENT,.,.,,
003801,037,LEGAL STUDIES,.,       0,,
003801,039,MANUFACTURING TECHNOLOGY,.,.,,
003801,043,NURSING SCIENCE,       8,       0,,
003801,045,PLANT SCIENCE,       6,       0,,
003801,049,RENEWABLE ENERGY,       5,       0,,
003801,050,TEACHING AND TRAINING,      21,       0,,
003801,059,MEDICAL THERAPY,.,       0,,
003801,060,WELDING,.,.,,
003902,001,ACCOUNTING AND FINANCIAL SERVICES,      21,       0,,
003902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      11,.,,
003902,003,AGRIBUSINESS,      14,       0,,
003902,004,ANIMAL SCIENCE,      29,.,,
003902,005,APPLIED AGRICULTURAL ENGINEERING,      73,      21,,
003902,006,ARCHITECTURAL DESIGN,.,       0,,
003902,008,AVIATION MAINTENANCE,       7,       0,,
